"Guide Title","Guide #","# of pages","Country","State/Province","Category/Subcategory","Authors","Date created","Year published","Language"
"Tolima - Bats of Santa Librada Reserve","1080","3","Ecuador","Tolima","Animals, Mammals","Diego A. Esquivel, Sergio Peña, José Ladino, Danilo Gutierrez, Carlos Aya-Cuero","December, 2018","2018","English"
" Southern Peru - Marsupials, Rodents and Chiroptera ","1079","6","Peru","Southern region","Animals, Mammals","Alexander Pari, Kateryn Pino, César E. Medina, Alayda Arce, Yasmy K. Medina, Horacio Zeballos","October, 2018","2018","English"
"Xieng Khoang - Selected Plants of Xieng Khouang Province","1078","17","Lao People's Democratic Republic","Xieng Khoang","Plants, Useful plants","Joshua M. Henkin, Bethany G. Elkington, Kongmany Sydara, O. Souliya, M. Xayvue, Djaja D. Soejarto","January, 2019","2019","English"
"Yaracuy - Amphibians and Reptiles of Guáquira Ecological Reserve","1077","7","Venezuela","Yaracuy","Animals, Amphibians, Reptiles","Fernando J.M. Rojas-Runjaic, Sebastian Lotzkat, Alfredo Sánchez-Tójar , José Luis Vieira-Fernandes, Luis Alejandro Rodríguez J.","October, 2018","2018","English"
"Imbabura - Common Plants of Los Yaltes Ecological Reserve","1076","18","Ecuador","Imbabura","Plants","Edison Rea, Francisco Tobar, Nicolás Zapata, Washington Santillán, Mariana Duque, Katya Romoleroux, Daniela Cevallos, Álvaro J. Pérez","October, 2018","2018","English"
"Cusco - Orchids of Manu Biosphere Reserve","1075","4","Peru","Cusco","Plants","Efrain Suclli Montañez, Carmen Soto Vargas, Francisco Llacma Pfocco","October, 2018","2018","English"
"Rift Valley - Small Carnivores of Mau Forest","1074","1","Kenya","Rift Valley","Animals, Mammals","Aaron Onserio, Adam W. Ferguson, Paul W. Webala","November, 2018","2018","English"
"Caquetá - Useful Plants of El Manantial Natural Reserve","1073","6","Colombia","Caquetá","Plants","María Del Pilar Casallas Nuñez , Yeraldy Figueroa Yustes , Marco Aurelio Correa Munera","October, 2018","2018","English"
"Amazonas - Reptiles and Amphibians of Mamirauá Reserve","1071","49","Brazil","Amazonas","Animals, Amphibians, Reptiles","Leandro Moraes, Jéssica dos Anjos Oliveira","October, 2018","2018","English"
"Pichincha - Plants of Cochasqui Archaeological Park","1069","8","Ecuador","Pichincha","Plants","Carlos Eduardo Cerón Martínez","October, 2018","2018","English"
"Cundinamarca - Life cycle and metamorphosis of Leptophobia aripa","1068","2","Colombia","Cundinamarca","Animals, Insects","Erika Nathaly Bernal Morales","October, 2018","2018","English"
"Cundinamarca -  Life Cycle and Metamorphosis of Danaus plexippus","1067","3","Colombia","Cundinamarca","Animals, Insects","Erika Nathaly Bernal Morales","October, 2018","2018","English"
"Vismia (Hypericaceae) from the Brazilian Atlantic Forest","1066","3","Brazil","","Plants","Lucas C. Marinho, Gustavo H. Shimizu, Milena V. Martins, Maria do Carmo E. Amaral, André M. Amorim","August, 2018","2018","English"
"Caquetá - Bats of Bajo Caguán-Caquetá Region","1065","3","Colombia","Caquetá Department ","Animals, Mammals","Alejandra Niño-Reyes, Diego Lizcano, Juan Pablo Parra, Sandro Justo Garay","October, 2018","2018","English"
"Zamora-Chinchipe - Fishes of the Nangaritza River","1064","2","Ecuador","Zamora-Chinchipe","Animals, Fishes","Brandon Y. Li","February, 2019","2019","English"
"Chocó - Geometer moths of Utría  National Natural Park","1063","4","Colombia","Chocó","Animals, Insects","Liliana Prada Lara ","October, 2018","2018","English"
"San Martín del Meta - Amphibians and Reptiles of the Natural Reserve El Caduceo","1062","4","Colombia","San Martín del Meta","Animals, Amphibians, Reptiles","Caicedo Moncada Javier-F., Cortés Parra Camilo-A., Cárdenas Montoya Guillermo-A., Jiménez Valdés José-F., Daniel Ramos-Torres, Ramírez Sandoval Paula-M. , Pachón Herrera Giovanny-A. , Chiquiza Moreno Daniela, Esteban Puentes Lizeth-E. , López Preciado Andres-R. , Díaz Valeria , Oscar Mahecha -J. ","October, 2018","2018","English"
"Icononzo-Tolima - Myriapods of Vereda Cafrería","1060","6","Colombia ","Icononzo-Tolima","Animals, Other invertebrates","Camilo Castillo Avila, Camilo Prado Sepúlveda, Alexander García García","October, 2018","2018","English"
"Caquetá - Amphibians and Reptiles of Caguán-Caquetá","1059","9","Colombia","Caquetá","Animals, Amphibians, Reptiles","Guido F. Medina-Rangel, Diego H. Ruiz-Valderrama, Michelle E. Thompson","July, 2018","2018","English"
"Ceará - Convolvulaceae of Meruoca Massif","1058","3","Brazil","Ceará","Plants","Francisco Diego Sousa Santos, Rayane de Tasso Moreira Ribeiro, Marlene Feliciano Figueirêdo, Elnatan Bezerra de Souza, Maria Teresa Aureliano Buril Vital","August, 2018","2018","English"
"Distrito Federal - Bromeliaceae of Distrito Federal","1057","1","Brazil","Distrito Federal","Plants","Camila Correia de Araújo, Maria das Graças Lapa Wanderley","July, 2018","2018","English"
"Caquetá -  Fishes from the lower Caguán River in its confluence area with the Caquetá River","1056","8","Colombia","Caquetá","Animals, Fishes","Jorge Enrique García Melo, Lesley de Souza, Javier A. Maldonado-Ocampo","October, 2018","2018","English"
"Amapá -  Birds of Maracá-Jipioca Ecological Station","1055","10","Brazil","Amapá","Animals, Birds","Pedro Ferreira França, Juliana Gonçalves Corrêa, Carlos Eduardo Costa Campos","October, 2018","2018","English"
"Orchids of Venezuela (vol. 4)","1054","2","Venezuela","","Plants","Carlos Jerez, Enmanuel D. Gallego","August, 2018","2018","English"
"Boyacá - Mosses of Sierra Nevada del Cocuy (west side)","1053","1","Colombia","Boyacá","Plants","Alexander Mejía , Viviana Castro, Bibiana Moncada","July, 2018","2018","English"
"Pando - The family Cerambycidae of Tahuamanu Biological Station","1051","5","Bolivia","Pando","Animals, Insects","Antonio Rodriguez Torrez, Lilian V. De Amorim Maciel","July, 2018","2018","English"
"Caquetá - Mammals of Bajo Caguán-Caquetá Region","1050","4","Colombia","Caquetá","Animals, Mammals","William Bonell , Diego J. Lizcano , Juan Pablo Parra , Alejandra Niño-Reyes , Jorge Contreras , Flor Ángela Peña Alzate","October, 2018","2018","English"
"Cusco - Flora of Valle del Cusco","1049","9","Peru","Cusco","Plants","Lucely Lucero Vilca Bustamante","February, 2019","2019","English"
"São Paulo - Myrtaceae of Serra do Mar State Park","1048","4","Brazil","São Paulo","Plants","Adriano Maruyama, Larisse Souza de Cicco Maruyama , Valdir de Cicco","February, 2019","2019","English"
"Mato Grosso - Fungi of Cristalino Natural Heritage Reserve (vol. 2)","1047","34","Brazil","Mato Grosso","Fungi and Lichens, Mushrooms","Susanne Sourell, D. Jean Lodge, João P.M. Araújo, Timothy Baroni, Priscila Chaverri, Ariadne Furtado, Tatiana Gibertoni, Fernanda Karstedt, Jadson J.S. Oliveira, Larissa Trierveiler Pereira, Julia Simon Cardoso ","July, 2018","2018","English"
"Ceará - Lentibulariaceae","1046","2","Brazil","Ceará","Plants","Felipe Martins Guedes, Lígia Queiroz Matias","February, 2019","2019","English"
"Amazonas - Mammals of Copallín Conservation Area and Cordillera de Colán Sanctuary ","1044","3","Peru","Amazonas","Animals, Mammals","Karen M. Pederson, Christian Olivera Tarifeño","October, 2018","2018","English"
"Sabaragamuwa - Orchids of Morningside","1043","4","Sri Lanka","Sabaragamuwa ","Plants","Peter Janzen","February, 2019","2019","English"
"Espírito Santo - Ferns and Lichophytes of São João de Petrópolis","1042","2","Brazil","Espírito Santo","Plants","Nelson Túlio Lage Pena, Felipe Zamborlini Saiter, Rodrigo Borçato , Glória Mª Viégas-Aquije","June, 2018","2018","English"
"Huarochirí - Common Plants of Carampoma Wetlands","1041","3","Peru","Huarochirí","Plants","Mónica Sofía Maldonado Fonkén , Juan José Alegría Olivera , Nataly Valencia, Angie Montenegro","June, 2018","2018","English"
"Bokeo - Selected Plants of Bokeo Province","1040","8","Lao People's Democratic Republic","Bokeo Province","Plants, Useful plants","Djaja Doel Soejarto , Bethany Elkington, Kongmany Sydara, Onelivay Souliya, Mouachanh Xayveu","June, 2018","2018","English"
"Brazil - Bats of Serra Negra da Mantiqueira","1039","1","Brazil","Minas Gerais, Rio de Janeiro, Sao Paulo ","Animals, Mammals","Pedro Henrique Nobre","July, 2018","2018","English"
"Pichincha - Plants of the Middle of the World City","1037","11","Ecuador","Pichincha","Plants","Carlos Eduardo Cerón Martínez","July, 2018","2018","English"
"Bahia - Orchidaceae of Praia do Forte Municipal Natural Park","1036","2","Brazil","Bahia","Plants","Felipe Fajardo Villela Antolin Barberena, Tainan da Silva Sousa, Nádia Roque","May, 2018","2018","English"
"SUCUMBIOS - Mammals and Terrestrial Birds of Cayambe Coca National Park, Community of Sinangoe","1035","3","Ecuador","Sucumbíos","Animals, Birds, Mammals","Andi Yadira, Ati José, Chacón Marco, Cevallos Sigifredo, Farinango Rojer, Grefa Efrén, Licuy Fausto, Ludeña Ronal, Medina Diana, Mejía Mario, Moyano Wilmer, Pineida Cristobal, Salazar Wilmer, Segarra Estefanía, Yiyoguaje Nivaldo, Urgilés-Verdugo Carlos, Trávez Hugo, Gallo Viracocha Freddy","July, 2018","2018","English"
"Piauí - Chlorophyta of the Piauiense Coast, Brazil","1034","1","Brazil","Piauí","Plants","Tuany Kelly Correia de Assis, Elane Marques Rodrigues, Maria Helena Alves","July, 2018","2018","English"
"Atlantic Forest - The genre Polybotrya (Dryopteridaceae)","1033","3","Brazil","","Plants","Bianca Kalinowski Canestraro , Paulo H. Labiak Evangelista ","June, 2018","2018","English"
"Melekeok - Orchids of Ngardok Nature Reserve","1032","2","Republic of Palau","Melekeok","Plants","Benjamin J. Crain, Lomalinda Gabriel","June, 2018","2018","English"
