"Guide Title","Guide #","# of pages","Country","State/Province","Category/Subcategory","Authors","Date created","Year published","Language"
"Madre de Dios - Plants of Gallocunca Conservation Forest","876","22","Peru","Madre de Dios","Plants","Sufer Baez Quispe  , Jorge Garate Quispe, Hugo Dueñas Linares, Rolando Sota Pulido","April, 2017","2017","English"
"Limon - Spiders of La Selva Biological Station","875","2","Costa Rica","Limon","Animals, Spiders and scorpions","Ignacio Escalante, Darko D. Cotoras","June, 2017","2017","English"
"Puntarenas - Spiders of Las Cruces Biological Station","874","2","Costa Rica","Puntarenas","Animals, Spiders and scorpions","Darko D. Cotoras, Ignacio Escalante","June, 2017","2017","English"
"Barro Colorado - Spiders","873","2","Panama","Barro Colorado","Animals, Spiders and scorpions","Ignacio Escalante, Darko D. Cotoras","June, 2017","2017","English"
"Hawaii - Native Spiders","872","5","USA","Hawaii","Animals, Spiders and scorpions","Darko D. Cotoras","June, 2017","2017","English"
"Rapa Nui - Spiders","871","1","Chile","Easter Island","Animals, Spiders and scorpions","Darko Cotoras , Luis Flores , Cristian Villagra ","June, 2017","2017","English"
"Cundinamarca - Pronophilina Butterflies from Frailejonal ","870","1","Colombia","Cundinamarca","Animals, Insects","Vanessa Diaz-S, Oscar Mahecha-J., Tomasz Pyrcz","March, 2017","2017","English"
"Maritime Province - Birds of the Gamba Complex of Protected Areas","869","5","Gabon","Maritime Province","Animals, Birds","Brian Schmidt, Christina Gebhard, Laundry Tchignoumba","March, 2017","2017","English"
"Santa Catarina - Ferns and Licophytes of Morro do Baú Region","868","3","Brazil","Santa Catarina","Plants","Carlos Henrique Russi","March, 2017","2017","English"
"Pantropical - Tree Ferns of Andean Peru, Bolivia and Argentina","867","19","Argentina, Bolivia, Peru","","Plants","Adrian Tejedor, Gloria Calatayud","March, 2017","2017","English"
"Guaviare - Amphibians and Reptiles of the Serranías Guaviare","866","9","Colombia","Guaviare","Animals, Amphibians, Reptiles","Jonh Jairo Mueses-Cisneros, José Rancés Caicedo-Portilla","March, 2017","2017","English"
"Illinois - Common Mosses and Liverworts of Chicago Region","865","6","USA","Illinois","Plants, Other (Plants)","Kalman Strauss, Jerry Jenkins, Gary Merrill, Charles DeLavoi, Juan Larraín, Laura Briscoe , Matt von Konrat","February, 2017","2017","English"
"Loreto - Birds of Vieja Cocha","864","7","Peru","Loreto","Animals, Birds","Javier Arturo Ayapi Da Silva, Surecht Alberto Ruíz Ramos","February, 2017","2017","English"
"El Oro -  Birds of Mangroves and Coastal Marine Zone","863","8","Ecuador","El Oro Province ","Animals, Birds","César Garzón S., Glenda Pozo Z., Gabriela Echeverría V., Francisco Sornoza M., Juan Carlos Sánchez, Cecilia Proaño ","August, 2017","2017","English"
"Loreto - Common Plants of the Putumayo-Algodón","862","14","Peru","Loreto","Plants","Luis A. Torres-Montenegro, Marcos A. Ríos-Paredes, Andrés A. Barona-Colmenares, Corine Vriesendorp, Nigel Pitman","February, 2017","2017","English"
"Minas Gerais - Conspicuous Plants of Serra de Santa Rita Mítzi Brandão Biological Reserve and Fernando Bonillo Fernandes Municipal Park","861","7","Brazil","Minas Gerais","Plants","Luis Fernando Alberti","July, 2017","2017","English"
"Heredia - Common Frogs of La Selva Biological Station","860","2","Costa Rica","Heredia","Animals, Amphibians","Michelle E. Thompson, Juan G. Abarca, Enrique Salicetti Nelson, Hansell Rodriguez Vega, Carlos de la Rosa, Ralph Garcia Robleto, Maureen A. Donnelly","February, 2017","2017","English"
"Cundinamarca - Orchids of Calera","859","4","Colombia","Cundinamarca","Plants, Climbers, Terrestrial herbs","Juan Camilo Ordóñez Blanco","February, 2017","2017","English"
"South East Sulawesi - Insect Bats of Buton Island ","858","2","Indonesia","","Animals, Mammals","Georgina Patterson, Nathan Adams, Olivia Cropper, Lionel Leston, Tom Martin","January, 2017","2017","English"
"South East Sulawesi - Fruit Bats of Buton Island ","857","4","Indonesia","","Animals, Mammals","Georgina Patterson, Nathan Adams, Olivia Cropper, Lionel Leston, Tom Martin","January, 2017","2017","English"
"Pichincha - Common Flowers of  Pululahua Geobotanical Reserve","856","16","Ecuador","","Plants","Jorge Brito M., Glenda M. Pozo-Zamora, Efraín Freire, Carlos E. Cerón","January, 2017","2017","English"
"Costa Rica - Amphibians of the San Ramón Cloud Forest","855","3","Costa Rica","","Animals, Amphibians","Brayan H. Morera-Chacón","January, 2017","2017","English"
"Amazonas - Insects (Coreidae) of Amazonas State","854","10","Venezuela","","Animals, Insects","Renato Mattei, Roberto Mattei","January, 2017","2017","English"
"Pichincha, Imbabura - Pollens of Common Plants of inter-Andean Dry valleys","853","7","Ecuador","","Plants","Glenda M. Pozo-Zamora","January, 2017","2017","English"
"Esmeraldas - Mammals of El Pambilar Wildlife Refugee ","848","10","Ecuador","","Animals, Mammals","Víctor Hugo Tacuri, Bolivar Mauricio Leverone, Marcos Efraín Salinas, José Wilson Bonilla, Alex Vladimir Garofalo, Edgar Javier Pianchiche, Elba Teresa Guananga, Daniel Rolando Garcia, Edison Araguillin","January, 2017","2017","English"
"Atlantic Forest - Tree Ferns ","847","6","Brazil","","Plants","Adrian Tejedor","March, 2017","2017","English"
"Puerto Rico - Tree Ferns","846","3","Puerto Rico","","Plants","Adrian Tejedor","March, 2017","2017","English"
"Panama - Tree Ferns","845","10","Panama","","Plants","Adrian Tejedor, Marcus Lehnert","March, 2017","2017","English"
"Veracruz - Common Birds of the Universidad Veracruzana’s Campus ","844","3","Mexico","Veracruz","Animals, Birds","Oscar M. Salcedo J., J. Alberto Lobato-García, Gustavo Contreras-Cuevas, Nidia S. Hernández-Arriaga, Mariana Hernández-Soto, Ernesto Ruelas Inzunza","February, 2017","2017","English"
"Madre de Dios - Macroinvertebrates of rivers and creeks along the interoceanic Highway","843","5","Peru","Madre de Dios","Animals, Other invertebrates","Bern Sweeney, David Funk, R. Wills Flowers, Therany Gonzales, Ana Huamantinco","February, 2017","2017","English"
"Guaviare - Fishes of the Inírida and Guaviare Rivers","842","7","Colombia","","Animals, Fishes","Alexander Urbano-Bonilla, Lesley de Souza, Javier A. Maldonado-Ocampo, Jhon E. Zamudio","February, 2017","2017","English"
"San José - Plants of Cloudbridge Nature Reserve","839","7","Costa Rica","São José","Plants","Laura A. Antonaru","March, 2017","2017","English"
"Valle del Cauca - Herbs of Universidad del Valle","838","4","Colombia","Valle del Cauca","Plants","Philip Silverstone-Sopkin, Edier Soto-Medina, Juan Mauricio Posada","March, 2017","2017","English"
"Veracruz - Moths of Los Tuxtlas Biological Station","837","1","Mexico","Veracruz","Animals, Insects","Martha Madora, Rosamond Coates","January, 2017","2017","English"
"Rio Grande do Norte - Plants of Dom Nivaldo Monte Park","836","10","Brazil","Rio Grande do Norte ","Plants","Ayrthon W. V. Medeiros,  Camila P. C. Gomes, Pedro H. P. Sousa, Pedro B. S. Júnior, Poliana L. Costa, Jomar G. Jardim,  Alan de A. Roque","November, 2016","2016","English"
"Los Ríos - Amphibians & Reptiles of the Pedro Franco Dávila Protected Forest","833","2","Equador","","Animals, Amphibians, Reptiles","Keyko Cruz, Juan Carlos Sánchez","December, 2016","2016","English"
"Illinois - ArcelorMittal Riverdale Prairie Reconstruction","832","1","USA","Illinois","Plants","Iza Redlinski , Laura Milkert","February, 2017","2017","English"
"Illinois - Rice Foundation Native Gardens","831","1","USA","","Plants","Laura Milkert, Iza Redlinski","January, 2017","2017","English"
"Pichincha - Mammals of the Tropi-Andino Conservation Corridor","830","5","Ecuador","","Animals, Mammals","Carlos Urgilés-Verdugo , Freddy Gallo Viracocha","December, 2016","2016","English"
"Choachí - Flora of the Páramo de Matarredonda","829","4","Colombia","","Plants","Marisol Cruz, Selva.la, Smithsonian Tropical Research Institute","December, 2016","2016","English"
"Bahia - Orchidaceae of the Lagoas e Dunas do Abaeté Protected Area","828","3","Brazil","Bahia","Plants","Felipe Fajardo Villela Antolin Barberena, Tainan da Silva Sousa, Nádia Roque","September, 2017","2017","English"
"Ceará - Plants of Dense Ombrophilous Forest of Ceará State","827","5","Brazil","","Plants","Rayane de Tasso Moreira Ribeiro, Valéria da Silva Sampaio, Elnatan Bezerra de Souza, Maria Iracema Bezerra Loiola","November, 2016","2016","English"
"Noroccidental - Mammals of Cotacachi-Cayapas Ecological Reserve","826","3","Ecuador","","Animals, Mammals","Carlos Urgilés-Verdugo , Freddy Gallo Viracocha","November, 2016","2016","English"
"Veracruz - Macrofungi of Los Tuxtlas Biological Station","825","6","Mexico","","Fungi and Lichens, Mushrooms","Rosamond Coates, Carlos Velázquez-Narváez, Álvaro Campos-Villanueva","January, 2017","2017","English"
"Veracruz -- Moths (Sphingidae) of Los Tuxtlas Tropical Biological Station","824","2","Mexico","","Animals, Insects","Martha Madora Astudillo, Rosamond Coates","November, 2016","2016","English"
"Sucumbíos - Mammals of  Tropi-Andino Conservation Corridor","823","3","Ecuador","","Animals, Mammals","Carlos Urgilés-Verdugo, Freddy Gallo Viracocha","November, 2016","2016","English"
"Sucumbíos - Mammals of Cayambe Coca National Park","822","3","Ecuador","","Animals, Mammals","Carlos Urgilés-Verdugo ,  Freddy Gallo Viracocha","November, 2016","2016","English"
"Illinois - Calumet Botanical Heritage","821","1","USA","","Plants","","November, 2016","2016","English"
"Ucayali - Useful Palms","820","4","Peru","","Plants, Useful plants","Ludvík Bortl","November, 2016","2016","English"
"Huila - Birds of the municipality San Agustín","819","5","Colombia","Huila","Animals, Birds","Alejandro Pérez, César Villamil, Alejandro Montañez, Ingrid Obando","March, 2017","2017","English"
"El Oro - Amphibians of Reserva Buenaventura","818","3","Ecuador","","Animals, Amphibians","Dan Cogălniceanu, Diana Székely, Paul Székely, Diego Armijos-Ojeda, Nikolay Aguirre, Mario H. Yánez-Muñoz","November, 2016","2016","English"
"Bogotá - Plants of the ""Humedales del Nor-Occident""","817","18","Colombia","","Plants","Alejandro Pérez, César Villamil, Alejandro Montañez","December, 2016","2016","English"
"Esmeraldas - Mammals of Mache-Chindul Ecological Reserve","816","6","Ecuador","","Animals, Mammals","Carlos Urgilés-Verdugo, Freddy Gallo Viracocha","November, 2016","2016","English"
"Amazon - Birds subject to illegal traffic in the Bolivian Amazon","815","2","Bolivia","","Animals, Birds","Vincent A. Vos","April, 2017","2017","English"
"Sucre & Atlántico - Lepidopteran from Sucre and Atlántico","813","7","Colombia","Sucre and Atlántico","Animals, Insects","John Ortega Galván, Juan D. Guzman, M. Cristina Martínez-Habibe","March, 2017","2017","English"
"Nayarit - Amphibians and Reptiles of Marismas Nacionales Biosphere Reserve","812","4","Mexico","","Animals, Amphibians, Reptiles","Jesús A. Loc-Barragán","September, 2016","2016","English"
"Northeastern - Common Fishes of the Napo River","811","8","Ecuador","","Animals, Fishes","Fredy Nugra Salazar, María Belén Benítez, Edwin Zarate, Jorge Fernández de Córdova, Jorge E. Celi","October, 2016","2016","English"
"Huánuco, Pasco, Ucayali - Reptiles of the Sira Communal Reserve","810","4","Peru","","Animals, Reptiles","Andrew Whitworth, Chris Beirne, Ruthmery Pillco Huarcaya, Shirley Jennifer Serrano Rojas , Germán Chávez","September, 2016","2016","English"
"Huánuco, Pasco, Ucayali - Amphibians of the Sira Communal Reserve","809","4","Peru","","Animals, Amphibians","Andrew Whitworth, Chris Beirne, Ruthmery Pillco Huarcaya, Shirley Jennifer Serrano Rojas , Germán Chávez","September, 2016","2016","English"
"Bats of Peru","808","10","Peru","","Animals, Mammals","César E. Medina, Alexander Pari, Hugo T. Zamora , Darwin R. Díaz","August, 2016","2016","English"
"Guanacaste - Flora Vascular of the Sabanas Miravalles","807","11","Costa Rica","Guanacaste","Plants","José Esteban Jiménez","January, 2017","2017","English"
"The genus Byrsonima (Malpighiaceae) ","806","7","Brazil","","Plants","Augusto Francener, Climbiê Ferreira Hall, Rafael Felipe de Almeida, Maria Candida Henrique Mamede","August, 2016","2016","English"
"Cochabamba - Pteridophytes and Lycophytes of Tunari National Park","805","8","Bolivia","","Plants, Other (Plants)","Modesto Zárate , Iván Jiménez Pérez, Elizabeth Melgarejo, Claudia Solís, Maribel Ibarra , Sandro Gómez","January, 2017","2017","English"
"Genus Catasetum (Orchidaceae)","804","2","Venezuela","","Plants","Ramon E. Lopez, Enmanuel D. Gallego","August, 2016","2016","English"
"Rio de Janeiro - Threatened Liverworts of Itatiaia National Park   ","803","7","Brazil","","Other (Plants)","Maria Alice de Rezende, Denise Pinheiro da Costa","November, 2016","2016","English"
"Quindío - Common Solanaceae ","802","4","Colombia","","Plants","Juan David Tovar","September, 2016","2016","English"
"Illinois - Find Thismia: A quick guide to help you rediscover Thismia americana","801","2","USA","","Plants","Nigel Pitman, Cassandra Kelsey","August, 2016","2016","English"
"Rio de Janeiro - Plants of the Restinga of Jaconé-Saquarema","800","7","Brazil","","Plants","Carlos D. M. Ferreira , Thayane B. S. Patusco , Massimo G. Bovini ","October, 2016","2016","English"
"Boyacá -- Birds of Almeida","799","5","Colombia","","Animals, Birds","Avestamiento Valletenzano, Alcadía Municipal Almeida ","August, 2016","2016","English"
"Espírito Santo - Capixaba Plants of Rocky Outcrops ","798","8","Brazil","","Plants","Herval Vieira Pinto Junior, Luísa Azevedo Oliveira, Luiza Fonseca Amorim de Paula, Cleber Covre, Luis Fernando Tavares de Menezes, Miriam Cristina Alvarez Pereira, Rafaela Campostrini Forzza","January, 2017","2017","English"
"El Oro - Amphibians of Reserva Ecológica Arenillas","797","2","Ecuador","El Oro","Animals, Amphibians","Diana Székely, Paul Székely , Diego Armijos-Ojeda, Dan Cogălniceanu ","August, 2016","2016","English"
"Puntarenas - Moraceae of the Osa Peninsula","796","9","Costa Rica","","Plants","Reinaldo Aguilar, Daniel Santamaría2","October, 2016","2016","English"
"Amazonas - Tree Stems of a rain forest in Central Amazonia","795","5","Brazil","Amazonas","Plants, Trees","Vinicius Costa Cysneiros, Otávio José Magalhães Samor","August, 2017","2017","English"
"Rio de Janeiro - Rupicolous Plants of Lowland Inselbergs","794","7","Brazil","","Plants","Luana Paula Mauad, Leandro J.T. Cardoso , João Marcelo A. Braga","September, 2016","2016","English"
"Minas Gerais - Plants of São Thomé das Letras city","793","30","Brazil","","Plants","Paulo de Salles Penteado Sampaio, Erich Ricardo Sattelmayer, Valdeci de Andrade, Suzana Ehlin Martins , José Claudio deCastro, Gilberto Inácio de Faria, Mirella Caleffi Ancona, Victor Inacio Rezende","August, 2016","2016","English"
"Peru - Common Plants of Iquitos","792","11","Peru","","Plants","Edward Jimmy Alarcón, Roger Soplín Rios, Ian Paul Medina, Víctor Contreras","August, 2016","2016","English"
"Cusco - Common Plants of the  Lower Urubamba River","791","24","Peru","","Plants","Edward Jimmy Alarcón Mozombite, Roger Soplín Rios, Eder A. Chilquillo Torres, Carlos Gabriel Hidalgo Pizango","July, 2016","2016","English"
"Minas Gerais - Mosses (Campylopus) of Serra do Rola-Moça State Park ","790","4","Brazil","","Other (Plants)","Gabriel Felipe Peñaloza-Bojacá, Cíntia Aparecida Teixeira Araújo, Adaíses Simone Maciel-Silva","November, 2016","2016","English"
"Manabí - Mammals of Pacoche Wildlife Refuge ","789","3","Ecuador","","Animals, Mammals","Diego J. Lizcano, Laura Cervera, Violeta Pares, Sueanny Espinoza, Diana Poaquiza-Alava, Carlos Ramírez","July, 2016","2016","English"
"Manabi - Mammals of Machalilla National Park","788","3","Ecuador","","Animals, Mammals","Diego J. Lizcano, Laura Cervera, Violeta Pares, Sueanny Espinoza, Diana Poaquiza-Alava, Carlos Ramírez","July, 2016","2016","English"
"Madre de Dios - Frogs and Reptiles of the Taricaya Ecological Reserve","787","17","Peru","","Animals, Amphibians, Reptiles","Daniel R. Neira","July, 2016","2016","English"
"Paraíba - Plants of Guaribas Biological Reserve ","786","4","Brazil","Paraíba","Plants","Joel Maciel Pereira Cordeiro, Maria de Fátima Agra","November, 2017","2017","English"
"Roraima - Macrophytes of the PPBio Roraima","785","4","Brazil","Roraima","Plants, Aquatic plants","Raissa Maria Sampaio de Paiva, Lorrane Aesha Malta Feitoza, Fabiana Granja , Lucília Dias Pacobahyba","July, 2017","2017","English"
"Nayarit - Amphibians of Nayarit State","784","3","Mexico","","Animals, Amphibians","Jesús A. Loc-Barragán, Iván Ahumada-Carrillo, Guillermo A. Woolrich-Piña","July, 2016","2016","English"
"Cundinamarca - Butterflies of La Minga","783","10","Colombia","","Animals, Insects","Fredy Montero Abril , Maira Ortiz Pérez","May, 2016","2016","English"
"Cundinamarca - Inmature Stages of Butterfly Species ","782","4","Colombia","","Animals, Insects","Fredy Montero Abril , Maira Ortiz Pérez","May, 2016","2016","English"
"Cundinamarca - Orchids of Guayabetal Municipality","781","4","Colombia","","Plants","Juan Camilo Ordóñez Blanco","June, 2016","2016","English"
"Genus Eichhornia  (Pontederiaceae)","780","2","Pantropical","","Plants","Danilo José Lima de Sousa, Spencer C. H. Barrett, Nicolay Leme da Cunha, Ana Maria Giulietti-Harley","June, 2016","2016","English"
"Madre de Dios - Conspicuous Plants of the Amarakaeri Reserve","779","3","Peru","","Plants","Isau Huamantupa, Gloria Calatayud, Elias Paz, Adrian Tejedor, Jessica L. Deichmann","July, 2016","2016","English"
"Madre de Dios - Dung Beetles (Scarabaeinae) of the Amarakaeri Communal Reserve","778","3","Peru","","Animals, Insects","Gorky Valencia, Alfonso Alonso, Rolando Coronel, Tremaine Gregory","June, 2016","2016","English"
"Caquetá - Serpocaulon (Polypodiaceae) de El Caraño","777","3","Colombia","","Plants","David Sanín, Jorge Luis Peña-Núñez","June, 2016","2016","English"
"Imbabura - Birds of Los Cedros Reserve","775","2","Ecuador","","Animals, Birds","Fernanda Salazar Vaca, April Williamson, Jesse Rubenstein, Alexander Claeys Bouuaert, Fausto Lomas, Brando Tacuri","July, 2016","2016","English"
"Santa Catarina - Orchidaceae of Morro das Aranhas","774","4","Brazil","","Plants","Ciro Carlos Mello Couto, Jader Oslim Caetano","June, 2016","2016","English"
"Veracruz - Plants with Extrafloral Nectaries of Los Tuxtlas Biological Station","773","4","Mexico","","Plants","Armando Aguirre Jaimes, Rosamond Coates, Abril Castillo Serrano","May, 2016","2016","English"
"Costa Ballena - Amphibians and Reptiles ","772","9","Costa Rica","","Animals, Amphibians, Reptiles","César L. Barrio-Amorós","May, 2016","2016","English"
"Meta - Bats of the Guayupes Forest","771","3","Colombia","","Animals, Mammals","Diego Esquivel-Melo, Diana Camelo-Pinzon, Abelardo Rodriguez","June, 2016","2016","English"
"Madre de Dios - Clearwing butterflies (Nymphalidae: Ithomiini)","770","2","Peru","","Animals, Insects","Geoffrey Gallice","April, 2016","2016","English"
"Meta - Birds of the Piedmont Plains","769","10","Colombia","","Animals, Birds","Alejandro Martínez Maldonado","July, 2016","2016","English"
"Mato Grosso do Sul - Aspidosperma (Apocynaceae)","768","2","Brazil","","Plants","David Johane Machate, Flávio Macedo Alves, Maria Ana Farinaccio","May, 2016","2016","English"
"Mato Grosso - Orchidaceae, genus Catasetum ","767","5","Brazil","","Plants","Adarilda Petini-Benelli, Thiago Junqueira Izzo, Eric de Camargo Smidt, Sérgio Alberto Queiroz Costa","August, 2016","2016","English"
"Madre de Dios - Amphibians and Reptiles of the Amarakaeri Communal Reserve","766","4","Peru","","Animals, Amphibians, Reptiles","Juan Carlos Chaparro, Consuelo Alarcón R., F. Peter Condori C., Jessica L. Deichmann","May, 2016","2016","English"
"Cajamarca - Hummingbirds","764","6","Peru","","Animals, Birds","Manuel Roberto Roncal-Rabanal","October, 2016","2016","English"
"Cajamarca - Birds from Chugur, Hualgayoc district","763","6","Peru","","Birds","Manuel Roberto Roncal-Rabanal","November, 2016","2016","English"
"Bahia - Begoniaceae","762","5","Brazil","Bahia","Plants","Bernarda de Souza Gregório, Domingos Cardoso","October, 2017","2017","English"
"Cajamarca -- Cacti of a seasonally dry tropical forest","761","2","Peru","","Plants","Manuel Roberto Roncal-Rabanal","July, 2016","2016","English"
"Madre de Dios - Birds of the Amarakaeri Communal Reserve","760","4","Peru","","Animals, Birds","Grace Servat, Joyce Vitorino, Roxana Cruz, Marconi Campos, Alejandro Portillo, Tremaine Gregory","May, 2016","2016","English"
"Madre de Dios - Foods eaten by the Woolly Monkey (Lagothrix cana)","759","7","Peru","","Plants, Fruits, Seeds, Trees","Ruthmery Pillco Huarcaya, Andrew Whitworth, Jaime Villacampa, Victor Chama Moscoso , Percy Nuñez Vargas","April, 2016","2016","English"
"Loja - Birds of Zapotillo","758","13","Ecuador","","Animals, Birds","Leonardo Ordóñez-Delgado, Adrián Orihuela-Torres, Andrea Jara-Guerrero, Rodrigo Cisneros, Diego Armijos-Ojeda, Carlos I. Espinosa","July, 2016","2016","English"
"Manabi - Reptiles of Jama-Coaque Reserve","757","5","Ecuador","","Animals, Reptiles","Ryan L. Lynch, Ross Maynard, Paul S. Hamilton, Yuli Morales , Jomar Vaca  , Uver Vaca , Dexi Vite , Marcelo Marquez","May, 2016","2016","English"
"Tolima - Snakes of Cafrería","756","4","Colombia","","Animals, Reptiles","Diego A. Gómez-Sánchez, Julian Y. Arias Pineda","June, 2016","2016","English"
"Minas Gerais - Birds of Juiz de Fora Botanical Garden","755","8","Brazil","","Animals, Birds","Bruno Corrêa Barbosa, Tatiane Tagliatti Maciel, Mariana Paschoalini, Marco Antônio Manhães,  Fábio Prezoto","July, 2016","2016","English"
"Cundinamarca - Aves of Guayabal de Siquima","754","4","Colombia","","Animals, Birds","Juan David González Barreto","August, 2016","2016","English"
"Huila - Herpetological Fauna of Alto Magdalena","753","9","Colombia","Huila","Animals, Amphibians, Reptiles","Luis Enrique Vera-Pérez, Juan Salvador Mendoza Roldán, Gerson Peñuela Díaz","April, 2016","2016","English"
"Madre de Dios - Mammals of the Amarakaeri Communal Reserve","752","3","Peru","","Animals, Mammals","Tremaine Gregory","March, 2016","2016","English"
"Loreto - Amphibians and Reptiles of Algodón River","751","15","Peru","","Animals, Amphibians, Reptiles","Germán Chávez, Jonh Jairo Mueses-Cisneros , Pablo J. Venegas","July, 2016","2016","English"
"Ancash - Plants of the Cordillera Blanca","750","6","Peru","","Plants","Juan José Alegría Olivera , Melody Rocio Zarria Samanamud","June, 2016","2016","English"
"Orellana - Amphibians of San José de Payamino","749","10","Ecuador","","Animals, Amphibians","Ross J. Maynard, Ryan L. Lynch, Paul S. Hamilton","March, 2016","2016","English"
"Paraná - Xyridaceae Family","748","3","Brazil","","Plants","Eduardo Damasceno Lozano, Eric de Camargo Smidt, Maria das Graças Lapa Wanderley","April, 2016","2016","English"
"Native Cattleyas (Orchidaceae) of Venezuela","747","2","Venezuela","","Plants","Gerardo Castiglione Gomez, Enmanuel D. Gallego","June, 2016","2016","English"
"Andes Region - Tigridieae (Iridaceae)","746","5","Argentina, Bolivia, Ecuador, Peru","","Plants","Hibert Huaylla Limachi","January, 2017","2017","English"
"Mato Grosso - Orchids of Jauru","745","2","Brazil","","Plants, Climbers, Epiphytes, Terrestrial herbs","Lana Viecili Velasco, Glória Myiazawa ,  Adarilda Petini-Benelli","August, 2016","2016","English"
"Atlantic Forest - Tovomita (Clusiaceae) of the Brazilian Atlantic Forest","744","4","Brazil","","Plants","Lucas Cardoso Marinho, Pedro Fiaschi, André Márcio Amorim","April, 2016","2016","English"
"Poisonous Mushrooms of Thailand ","742","1","Thailand","","Fungi and Lichens, Mushrooms","Sittiporn Parnmen, Sujitra Sikaphan, Siriwan Leudang, Nattaphong Nantachaiphong, Chutimon Uttawichai, Sudarat Juntaporn,  Kornchanok Porntaweesuk, Dutsadee Polputpisatkul, Panisa Getn-gern, Apiwat Tawatsin , Sathaporn Ramchiun","February, 2016","2016","English"
"Bolívar - Arecaceae (Palmae) of the Cartagena Botanical Garden","741","2","Colombia","Bolívar","Plants, Trees","Maria José Gómez, Santiago Mejía, Natalia Contreras, Maria Paula Contreras","July, 2017","2017","English"
"Madre de Dios - Amphibians of Cocha Cashu Biological Station","740","6","Peru","","Animals, Amphibians","L. Karina Junes López , Jorge A. Ruiz Santillán","April, 2016","2016","English"
"Ceará - Solanum (Solanaceae)","739","2","Brazil","","Plants","Valéria da Silva Sampaio, Maria Iracema Bezerra Loiola","May, 2016","2016","English"
"Pasco - Amphibians of Yanachaga-Chemillén National Park","738","6","Peru","","Animals, Amphibians","Ariadne Angulo, Rudolf von May, Javier Icochea, Juan Carlos Chaparro, S. Blair Hedges, Edgar Lehr, Dante G. López, Mikael Lundberg , Jiří Moravec","February, 2016","2016","English"
"Paraíba -- Carnivorous Plants ","737","2","Brazil","","Plants","Caio Vinícius Silva","December, 2015","2015","English"
"Huancavelica & Ica -  Vascular Plants of the Western Andes","736","4","","","Plants","Nanette Vega-Vera , Reynaldo Linares-Palomino","August, 2016","2016","English"
"Ayacucho - Vascular Plants of Torobamba and Pampas Dry Forests","735","6","Peru","","Plants","","September, 2016","2016","English"
"Dolichandra (Tribe Bignonieae)","734","1","Pantropical","","Plants","Luiz Henrique M. Fonseca, Lúcia G. Lohmann","June, 2016","2016","English"
"São Paulo - Anura of August Ruschi Natural City Park","733","2","Brazil","","Animals, Amphibians","Matheus Moroti, Jonatas Alves Ferreira Neto, Andriele Cristina Cândido dos Santos, Rodrigo Dela Rosa de Souza, Cristina Pacheco Soares, Ibere Farina Machado","May, 2016","2016","English"
"Amazonas - Spermatophytes of Serra do Aracá State Park","732","6","Brazil","","Plants","Rafael Gomes Barbosa-Silva, Rafaela Campostrini Forzza","August, 2016","2016","English"
"Loreto - Trees and Shrubs of Yurimaguas ","731","3","Peru","","Plants, Shrubs and treelets, Trees","Gilberto Navarro Aguilar, Roger Soplín Rios, Jimmy Alarcón, Marcos Rios","March, 2016","2016","English"
"Loreto - Common Trees of the northern pipeline (Morona sector)","730","1","Peru","","Plants, Trees","Gilberto Navarro Aguilar, Roger Soplín Rios","March, 2016","2016","English"
"Loreto - Flowers and Fruits of Arboretum ""El Huayo""","729","10","Peru","","Plants, Climbers, Epiphytes, Fruits, Terrestrial herbs","Edward Jimmy Alarcón, Manuel Flores Arévalo","March, 2016","2016","English"
"Cundinamarca - Birds of Francisco José de Caldas University Campus","728","2","Colombia","","Animals, Birds","Diana Carolina Mejia Mondragon , María Angelica Acevedo Guerrero, Simón Mateo Bernal Sogamoso, María Fernanda Barón Montero , Cristian Camilo Gutiérrez Díaz","April, 2016","2016","English"
"Bahia -- Cactaceae of Boa Nova Park","727","4","Brazil","","Plants","Silvana Santos Simões, Grênivel M. da Costa, Daniela C. Zappi, Lidyanne Yuriko Saleme Aona","July, 2016","2016","English"
"Minas Gerais - Social Wasps","726","2","Brazil","","Animals, Insects","Bruno Corrêa Barbosa, Tatiane Tagliatti Maciel, Mariana Paschoalini, Fábio Prezoto","March, 2016","2016","English"
"São Paulo - Lentibulariaceae","725","3","Brazil","","Plants","Saura Rodrigues Silva, Fernanda Gomes Rodrigues, Dasmiliá Cruz Arozarena, Guilherme Camara Seber, Néstor Dario Franco Marulanda, Yani Cristina Aranguren Díaz, Cristine Gobbo Menezes, Yoannis Domínguez, Fernando Rivadavia, Vitor Fernandes Oliveira Miranda","August, 2016","2016","English"
"Pernambuco - Flowering species of secondary forests","724","2","Brazil","","Plants","Andréa de V. Freitas Pinto,  Maria Amanda M. Silva, Ana Virgínia de L. Leite , Maria Jesus N. Rodal","April, 2016","2016","English"
"Illinois - Common Winter Birds of Chicago","723","3","USA","","Animals, Birds","Josh Engel (Organizer)","June, 2016","2016","English"
"Illinois - Common Species of Chicago Park District Natural Areas - Prairies and Savannas","721","5","USA","","Birds, Insects, Mammals, Shrubs and treelets, Terrestrial herbs, Trees","John Balaban, Rebecca Collings, Mario Longoni, Jason Steger,  Byron Tsang","November, 2015","2015","English"
"Paraíba - Plants of Piranhas River ","720","11","Brazil","","Plants","Francione Gomes Silva, Risoneide Henriques da Silva, Rafael Medeiros de Araújo , Maria de Fátima de Araújo","January, 2017","2017","English"
